,0,1
0,"Kearney, Gavin",5
1,"Bocko, Mark F.",5
2,"Habets, Emanuël A. P.",4
3,"Agerkvist, Finn T.",4
4,"García-Gómez, Joaquín",4
5,"Heilemann, Michael",4
6,"Kim, Sungsoo",3
7,"Mason, Russell",3
8,"Clares-Crespo, César",3
9,"Fernández-Toloba, Alfredo",3
10,"Gil-Pita, Roberto",3
11,"Robotham, Thomas",3
12,"Rummukainen, Olli",3
13,"Preihs, Stephan",3
14,"Peissig, Jürgen",3
15,"Brunet, Pascal",3
16,"Ono, Kazuho",3
17,"Audfray, Rémi",2
18,"Jot, Jean-Marc",2
19,"Dicker, Sam",2
20,"Zheng, Chengshi",2
21,"Li, Xiaodong",2
22,"Sridhar, Sripathi",2
23,"Francombe, Jon",2
24,"Moffat, Dave",2
25,"De Man, Brecht",2
26,"Stables, Ryan",2
27,"Reiss, Joshua D.",2
28,"Cieciura, Craig",2
29,"Coleman, Philip",2
30,"Paradis, Matthew",2
31,"Mohíno-Herranz, Inma",2
32,"Wu, Xihong",2
33,"Qu, Tianshu",2
34,"Görne, Thomas",2
35,"Nakahara, Masataka",2
36,"Herre, Jürgen",2
37,"Mapp, Peter",2
38,"Kitajima, Shu",2
39,"Sugimoto, Takehiro",2
40,"Oode, Satoshi",2
41,"Komori, Tomoyasu",2
42,"Barthet, Mathieu",2
43,"Voishvillo, Alexander",2
44,"Edler, Bernd",2
45,"Pilch, Adam",2
46,"Anderson, David",2
47,"Armstrong, Calum",2
48,"Murphy, Damian",2
49,"Nagel, Frederik",2
50,"Bulla, Wesley",2
51,"Haneda, Yoichi",2
52,"Utrilla-Manso, Manuel",2
53,"Rosa-Zurera, Manuel",2
54,"Crawford, Steven",2
55,"Heuchel, Franz",2
56,"Fenton, Steven",2
57,"Czyzewski, Andrzej",2
58,"Kostek, Bozena",2
59,"Hupke, Robert",2
60,"Nophut, Marcel",2
61,"Ito, Atsuro",2
62,"Corteel, Etienne",1
63,"Coste Dombre, Hugo",1
64,"Combet, Christophe",1
65,"Horyn, Yoachim",1
66,"Montignies, François",1
67,"Taylor, Robert W.",1
68,"Tsui, Benjamin",1
69,"Ferreira, Aníbal",1
70,"Smith, Sarah R.",1
71,"Li, Ziqing",1
72,"Luo, Pingzhan",1
73,"Michelson, Jonathan",1
74,"Stern, Richard",1
75,"Sullivan, Thomas",1
76,"Najnudel, Judy",1
77,"Hélie, Thomas",1
78,"Boutin, Henri",1
79,"Roze, David",1
80,"Maniguet, Thierry",1
81,"Vaiedelich, Stéphane",1
82,"Noh, Daekyoung",1
83,"Walker, Oveal",1
84,"Garcia, Ricardo",1
85,"Ward, Lauren",1
86,"Shirley, Ben",1
87,"Schmitz, Thomas",1
88,"Embrechts, Jean-Jacques",1
89,"Ibáñez Calvo, Miguel",1
90,"Luis Valero, Maria",1
91,"Bigoni, Francesco",1
92,"Brixen, Eddy Bøgh",1
93,"Karapetyan, Aleksandr",1
94,"Fleischmann, Felix",1
95,"Plogsties, Jan",1
96,"Sandler, Mark",1
97,"Jo, Moon Ju",1
98,"Lee, Geon Woo",1
99,"Moon, Jung Min",1
100,"Cho, Choongsang",1
101,"Kim, Hong Kook",1
102,"Jillings, Nicholas",1
103,"Krause, Daniel",1
104,"Kowalczyk, Konrad",1
105,"Ge, Zhongshu",1
106,"Qiao, Yue",1
107,"Wang, Shusen",1
108,"Chevalier, Noé Philip",1
109,"Majdak, Piotr",1
110,"Wilk, Eva",1
111,"Matsuo, Akiho",1
112,"Tsuchikura, Ritsuko",1
113,"Takino, Masumi",1
114,"Moreira, Julian",1
115,"Gros, Laetitia",1
116,"Nicol, Rozenn",1
117,"Viaud-Delmon, Isabelle",1
118,"Urano, Joji",1
119,"Liao, Wei-Hsiang",1
120,"Mitsufuji, Yuki",1
121,"Osako, Keiichi",1
122,"Ohkuri, Kazunobu",1
123,"Weaver, James",1
124,"Chew, Elaine",1
125,"Disch, Sascha",1
126,"van de Par, Steven",1
127,"Niedermeier, Andreas",1
128,"Burdiel Pérez, Elena",1
129,"Berasategui Ceberio, Ane",1
130,"Schlieper, Roman",1
131,"Li, Song",1
132,"Button, Doug",1
133,"Lambert, Russ",1
134,"Bunning, James",1
135,"Piotrowski, Kamil",1
136,"Lankford, Elsa",1
137,"Schwartz, Adam",1
138,"Plewe, Daniel",1
139,"Brunskog, Jonas",1
140,"Shen, Yuchen",1
141,"Liu, Ziyun",1
142,"Shen, Yong",1
143,"Xiang, Ning",1
144,"Roessner, Stephen",1
145,"Szwajcowski, Adam",1
146,"Omoto, Akira",1
147,"Nagatomo, Yasuhiko",1
148,"Mitchell, Thomas",1
149,"Bennett, Christopher",1
150,"McKenzie, Thomas",1
151,"Celestinos, Adrian",1
152,"Kubota, Glenn",1
153,"Dick, Sascha",1
154,"Zhang, Jiandong",1
155,"Qin, Yili",1
156,"Schinkel-Bielefeld, Nadja",1
157,"Leschanowsky, Anna Katharina",1
158,"Cheshire, Matthew",1
159,"Hockman, Jason",1
160,"Bielmeier, Doug",1
161,"Kim, Chungeun",1
162,"Grais, Emad M.",1
163,"Plumbley, Mark D.",1
164,"McGovern, Stephen",1
165,"Mayo, Alexander",1
166,"Blum, Nathan",1
167,"Roussel, Leonard",1
168,"Puckette, Miller",1
169,"Afghah, Tahereh",1
170,"Patros, Elliot",1
171,"Sinev, Daniil",1
172,"Männchen, Andreas",1
173,"Stoppel, Fabian",1
174,"Beer, Daniel",1
175,"Niekiel, Florian",1
176,"Wagner, Bernhard",1
177,"Erichsen, Joseph",1
178,"Wei, Tong",1
179,"Sang, Jinqiu",1
180,"Sheehan, Maree",1
181,"Adler, Yuval",1
182,"Martin, Mark",1
183,"Datta, Jayant",1
184,"Zhou, Xinhui",1
185,"Songmuang, Parichat",1
186,"Guezenoc, Corentin",1
187,"Seguier, Renaud",1
188,"LaMacchia, Brewster",1
189,"Swanson, Bradford",1
190,"Kuhr, Christoph",1
191,"Carôt, Alexander",1
192,"Nemer, Elias",1
193,"Thompson, Jeff",1
194,"Kalker, Ton",1
195,"McLaughlin, Brian",1
196,"Middlicott, Charles",1
197,"Wiggins, Bruce",1
198,"Mayo, Paul",1
199,"Keele, Jr., D. B. (Don)",1
200,"Sarvis, Hugh",1
201,"Ren, Yi",1
202,"Llerena-Aguilar, Sr., Cosme",1
203,"Porov, Anton",1
204,"Oh, Eunmi",1
205,"Choo, Kihyun",1
206,"Sung, Hosang",1
207,"Jeong, Jonghoon",1
208,"Osipov, Konstantin",1
209,"Francois, Holly",1
210,"McIntosh, Jason",1
211,"Rudzki, Tomasz",1
212,"Sierra, Juan",1
213,"Kamrava, Jonathan",1
214,"Espinosa, Pablo",1
215,"Arneson, Jon M.",1
216,"Kohut, Paul",1
217,"Kentgens, Maximillian",1
218,"Kühl, Stefan",1
219,"Antweiler, Christiane",1
220,"Jax, Peter",1
221,"Backman, Juha",1
222,"Çakir, Emre",1
223,"Virtanen, Tuomas",1
224,"Abu ul Fazal, Muhammad",1
225,"Ferguson, Samuel",1
226,"Karim, Muhammad Shuaib",1
227,"Johnston, Andrew",1
228,"Ziegler, Jonathan D.",1
229,"Koch, Andreas",1
230,"Schilling, Andreas",1
231,"Malecki, Pawel",1
232,"Czopek, Dorota",1
233,"Sochaczewska, Katarzyna",1
234,"Woszczyk, Wieslaw",1
235,"Geluso, Paul",1
236,"Klippel, Wolfgang",1
237,"Angelakis, Evangelos",1
238,"Kosteletos, George",1
239,"Andreopoulou, Areti",1
240,"Georgaki, Anastasia",1
241,"Flanagan, Patrick",1
242,"Calle Benitez, Juan Simon",1
243,"Rivas Méndez, David",1
244,"Stubbs, Jessica",1
245,"Stiles, Mirek",1
246,"Levine, Dave ""Rat""",1
247,"Calza, Paolo",1
248,"Di Cola, Mario",1
249,"Martignon, Paolo",1
250,"Chisari, Letizia",1
251,"Kessling, Philipp",1
252,"von Türckheim, Friedrich",1
253,"von dem Knesebeck, Adrian",1
254,"Münch, Tobias",1
255,"Huang, Qingbo",1
256,"Paterson, Justin",1
257,"Toulson, Rob",1
258,"Olive, Sean",1
259,"Khonsaripour, Omid",1
260,"Welti, Todd",1
261,"Zamani, Sina",1
262,"Rose, Kenneth",1
263,"Sinnott, Laura",1
264,"Weinstein, Barbara",1
265,"Bezzola, Andri",1
266,"Wilson, Alex",1
267,"Cox, Trevor",1
268,"Zacharov, Nick",1
269,"Pike, Chris",1
270,"Berzborn, Marco",1
271,"Smithers, Michael",1
272,"Kist, Joost",1
273,"Foley, Dan",1
274,"Petersen, Andreas Stybe",1
275,"Iversen, Niels Elkjær",1
276,"Andersen, Michael A. E.",1
277,"Woodcock, James",1
278,"Hughes, Richard J.",1
279,"Hentschel, Kristian",1
280,"Whitmore, Eloise",1
281,"Churnside, Tony",1
282,"Becerra Benítez, Cristian Eduardo",1
283,"Peng, He",1
284,"Yamazato, Asuka",1
285,"Sasaki, Yo",1
286,"Fischer, Johannes",1
287,"Bäckström, Tom",1
288,"Sánchez-Hevia, Héctor A.",1
289,"Espino-Sanjosé, Rubén",1
290,"Caviedes Nozal, Diego",1
291,"Bharitkar, Sunil G.",1
292,"Mauer, Timothy",1
293,"Wells, Teresa",1
294,"Berfanger, David",1
295,"Schmidle, Gregor",1
296,"Beach, Mark",1
297,"MacMillan, Brian",1
298,"Pakhomov, Mikhail",1
299,"Rozhnov, Victor",1
300,"Griesinger, David",1
301,"Parker, Andrew",1
302,"Lee, Hyunkook",1
303,"Simón, Marcos",1
304,"Hamdan, Eric",1
305,"Menzies, Dylan",1
306,"Fazi, Filippo Maria",1
307,"Favrot, Alexis",1
308,"Faller, Christof",1
309,"Wittek, Helmut",1
310,"Johnston, Daniel",1
311,"Egermann, Hauke",1
312,"Wang, Jing",1
313,"Li, Zhitong",1
314,"Yan, Zhaoyu",1
315,"Li, Zhuoran",1
316,"Xie, Xiang",1
317,"Hammond, Ross",1
318,"Hill, Adam J.",1
319,"Odya, Piotr",1
320,"Sroczynski, Andrzej",1
321,"Feichtner, Esther Fee",1
322,"Kubo, Hiroki",1
323,"Maher, Robert C.",1
324,"Hoerr, Ethan",1
325,"Pezzoli, Mirco",1
326,"Comanducci, Luca",1
327,"Waltz, Joe",1
328,"Agnello, Anthony",1
329,"Bondi, Luca",1
330,"Canclini, Antonio",1
331,"Sarti, Augusto",1
332,"Piotrowska, Magdalena",1
333,"Korvel, Grazina",1
334,"Kurowski, Adam",1
335,"Agrawal, Sarvesh",1
336,"Braasch, Jonas",1
337,"Bradter, Cornelius",1
338,"Ju, Kichel",1
339,"Matsui, Kentaro",1
340,"Hattori, Hisao",1
341,"Suenaga, Takeaki",1
342,"Iwauchi, Kenichi",1
343,"Adachi, Shuichi",1
344,"Bromham, Gary",1
345,"Fazekas, György",1
346,"McMullin, Elisabeth",1
347,"Suha, Victoria",1
348,"Li, Yuan",1
349,"Saba, Will",1
